DEBUG 
312:56:02,918  3424ms PetriNetsController    Get                - OnEntry
DEBUG 2016-12-18 20:54:05,425 320964ms LoggingAspect          OnExit             - After method: IsHistoryValid was executed in 0 miliseconds
DEBUG 2016-12-18 20:54:05,425 320964ms LoggingAspect          OnExit             - After method: Get was executed in 14051 miliseconds
DEBUG 2016-12-18 20:58:52,578 608117ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-18 20:59:10,548 626087ms LoggingAspect          OnEntry            - Before method: CreateNetwork execution
DEBUG 2016-12-18 20:59:10,549 626088ms LoggingAspect          OnExit             - After method: CreateNetwork was executed in 0 miliseconds
DEBUG 2016-12-18 20:59:10,549 626088ms LoggingAspect          OnEntry            - Before method: IsHistoryValid execution
DEBUG 2016-12-18 20:59:10,550 626089ms LoggingAspect          OnExit             - After method: IsHistoryValid was executed in 0 miliseconds
DEBUG 2016-12-18 20:59:10,550 626089ms LoggingAspect          OnExit             - After method: Get was executed in 17951 miliseconds
DEBUG 2016-12-18 21:50:22,133  1814ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-19 21:54:20,931  1669ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-19 22:56:11,007 19925ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-19 23:17:12,219 181443ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-19 23:21:23,430  6644ms LoggingAspect          OnEntry            - Before method: Get execution
DEBUG 2016-12-19 23:21:48,036 31250ms LoggingAspect          OnEntry            - Before method: CreateNetwork execution
DEBUG 2016-12-19 23:21:48,039 31253ms LoggingAspect          OnExit             - After method: CreateNetwork was executed in 1 miliseconds
DEBUG 2016-12-19 23:21:49,227 32441ms LoggingAspect          OnEntry            - Before method: IsHistoryValid execution
DEBUG 2016-12-19 23:21:52,971 36185ms LoggingAspect          OnException        - Method: IsHistoryValid throw an excetion PostSharp.Aspects.MethodExecutionArgs
DEBUG 2016-12-19 23:21:52,993 36207ms LoggingAspect          OnExit             - After method: IsHistoryValid was executed in 3765 miliseconds
DEBUG 2016-12-19 23:21:52,998 36212ms LoggingAspect          OnException        - Method: Get throw an excetion PostSharp.Aspects.MethodExecutionArgs
DEBUG 2016-12-19 23:21:55,160 38374ms LoggingAspect          OnExit             - After method: Get was executed in 31624 miliseconds
DEBUG 2016-12-19 23:22:11,017  3815ms LoggingAspect          OnEntry            - Before method: Get execution
